iter	Passed	Remaining
610	1180	751
611	1181	748
612	1182	746
613	1183	744
614	1184	741
615	1185	739
616	1191	739
617	1192	737
618	1193	734
619	1195	732
620	1196	730
621	1198	728
622	1199	725
623	1200	723
624	1201	720
625	1207	721
626	1208	718
627	1209	716
628	1211	714
629	1212	712
630	1213	709
631	1214	707
632	1215	704
633	1216	702
634	1221	701
635	1222	699
636	1223	697
637	1224	695
638	1226	692
639	1227	690
640	1228	688
641	1229	685
642	1230	683
643	1231	680
644	1237	681
645	1238	678
646	1239	676
647	1240	673
648	1241	671
649	1242	669
650	1243	666
651	1244	664
652	1246	662
653	1247	660
654	1252	659
655	1253	657
656	1254	654
657	1256	652
658	1257	650
659	1258	648
660	1259	645
661	1260	643
662	1261	641
663	1262	638
664	1266	638
665	1268	635
666	1269	633
667	1270	631
668	1271	628
669	1272	626
670	1273	624
671	1274	622
672	1275	619
673	1276	617
674	1277	615
675	1282	614
676	1283	612
677	1284	610
678	1285	607
679	1286	605
680	1287	603
681	1288	600
682	1289	598
683	1290	596
684	1291	594
685	1292	591
686	1296	590
687	1298	588
688	1299	586
689	1300	584
690	1301	581
691	1302	579
692	1303	577
693	1304	575
694	1305	572
695	1306	570
696	1307	568
697	1312	567
698	1313	565
699	1314	563
700	1319	562
701	1320	560
702	1322	558
703	1323	556
704	1328	555
705	1330	554
706	1332	552
707	1333	549
708	1334	547
709	1336	545
710	1337	543
711	1338	541
712	1339	539
713	1344	538
714	1345	536
715	1346	534
716	1347	531
717	1348	529
718	1349	527
719	1350	525
720	1351	523
721	1352	520
722	1353	518
723	1359	518
724	1361	516
725	1362	514
726	1363	511
727	1364	509
728	1365	507
729	1366	505
730	1367	503
731	1368	501
732	1369	498
733	1375	498
734	1377	496
735	1378	494
736	1379	492
737	1381	490
738	1382	488
739	1383	486
740	1384	483
741	1385	481
742	1389	480
743	1390	478
744	1391	476
745	1392	474
746	1394	472
747	1395	470
748	1396	467
749	1397	465
750	1398	463
751	1403	462
752	1405	460
753	1406	458
754	1407	456
755	1408	454
756	1409	452
757	1410	450
758	1411	448
759	1412	446
760	1414	444
761	1419	443
762	1420	441
763	1422	439
764	1423	437
765	1424	435
766	1425	433
767	1426	431
768	1428	428
769	1429	426
770	1434	425
771	1435	423
772	1436	421
773	1437	419
774	1438	417
775	1439	415
776	1440	413
777	1441	411
778	1442	409
779	1443	407
780	1444	405
781	1448	403
782	1449	401
783	1450	399
784	1452	397
785	1453	395
786	1454	393
787	1455	391
788	1456	389
789	1457	387
790	1458	385
791	1459	383
792	1463	382
793	1465	380
794	1466	378
795	1467	376
796	1468	374
797	1469	371
798	1470	369
799	1471	367
800	1472	365
801	1473	363
802	1474	361
803	1478	360
804	1480	358
805	1481	356
806	1482	354
807	1483	352
808	1484	350
809	1485	348
810	1487	346
811	1488	344
812	1490	342
813	1494	341
814	1495	339
815	1496	337
816	1497	335
817	1498	333
818	1499	331
819	1501	329
820	1502	327
821	1503	325
822	1504	323
823	1505	321
824	1510	320
825	1511	318
826	1512	316
827	1513	314
828	1514	312
829	1515	310
830	1516	308
831	1517	306
832	1518	304
833	1519	302
834	1520	300
835	1526	299
836	1527	297
837	1528	295
838	1530	293
839	1531	291
840	1532	289
841	1533	287
842	1534	285
843	1535	283
844	1539	282
845	1541	280
846	1542	278
847	1543	276
848	1544	274
849	1545	272
850	1546	270
851	1547	268
852	1549	266
853	1550	264
854	1551	263
855	1556	261
856	1557	259
857	1558	257
858	1559	255
859	1560	254
860	1561	252
861	1562	250
862	1563	248
863	1564	246
864	1565	244
865	1566	242
866	1571	241
867	1572	239
868	1573	237
869	1574	235
870	1575	233
871	1576	231
872	1577	229
873	1578	227
874	1579	225
875	1580	223
876	1581	221
877	1586	220
878	1587	218
879	1588	216
880	1589	214
881	1590	212
882	1591	210
883	1592	208
884	1593	207
885	1594	205
886	1595	203
887	1596	201
888	1601	199
889	1602	198
890	1603	196
891	1604	194
892	1605	192
893	1606	190
894	1607	188
895	1608	186
896	1609	184
897	1610	182
898	1611	181
899	1617	179
900	1618	177
901	1619	175
902	1620	174
903	1622	172
904	1624	170
905	1625	168
906	1626	166
907	1627	164
908	1631	163
909	1632	161
910	1633	159
911	1634	157
912	1635	155
913	1637	154
914	1638	152
915	1639	150
916	1640	148
917	1641	146
918	1642	144
919	1646	143
920	1648	141
921	1649	139
922	1650	137
923	1650	135
924	1651	133
925	1653	132
926	1654	130
927	1655	128
928	1662	127
929	1664	125
930	1665	123
931	1666	121
932	1667	119
933	1669	117
934	1670	116
935	1671	114
936	1672	112
937	1677	110
938	1678	109
939	1679	107
940	1680	105
941	1682	103
942	1683	101
943	1684	99
944	1685	98
945	1686	96
946	1687	94
947	1688	92
948	1693	91
949	1695	89
950	1696	87
951	1698	85
952	1699	83
953	1700	81
954	1701	80
955	1702	78
956	1703	76
957	1709	74
958	1711	73
959	1712	71
960	1713	69
961	1715	67
962	1716	65
963	1717	64
964	1718	62
965	1722	60
966	1724	58
967	1725	57
968	1726	55
969	1727	53
970	1728	51
971	1729	49
972	1730	48
973	1731	46
974	1732	44
975	1733	42
976	1738	40
977	1739	39
978	1740	37
979	1741	35
980	1742	33
981	1743	31
982	1744	30
983	1745	28
984	1746	26
985	1747	24
986	1748	23
987	1753	21
988	1754	19
989	1755	17
990	1756	15
991	1757	14
992	1759	12
993	1760	10
994	1761	8
995	1762	7
996	1763	5
997	1764	3
998	1768	1
999	1769	0
